screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
2mark75,mark hawthornthwaite,"Lytham St. Annes, England",cpfc,RT @finlaycpfc: ladies and gentlemen: Conor Gallagher. 🤩  #cpfc 🦅 https://t.co/LwG4LHOZsQ,no,no,no,no,no,no
sugarklosya,eva 🐉 eternals era,somewhere with my men,russian girl with a big list of crushes 🤍 simp for every men I see  // mcu & sg,gentlemen https://t.co/pCUYu6PDy0,no,no,no,no,no,no
DevaMarie,Mrs. John Christopher Depp II,She/Her ,"Time is the substance I am made of. Time is a river which sweeps me along, but I am the river, it is a fire which consumes me, but I am the fire",RT @DlORDEPP: Queen Lady Gaga ladies and gentlemen 🔪✨💜 https://t.co/Ao2VGa0I5V,no,yes,no,yes,no,no
Asmaiqb10462364,Asma iqbal,,I Âm Me And I Won't Change for Anyone 🙃,"RT @MsTweetLover: Proof that Karan had a crush on Teja since Ladies Vs Gentlemen. He noticed that small thing about her❤️🧿🦜🐺
#KaranKundrra…",no,no,no,no,no,no
London_Crypto21,JJ,,"Crypto Enthusiast, NFT collector pretender.",@ScottLEOWarrior @RedRoomGaming @mofassairhsn Big you gentlemen. Doing good 👍,no,no,no,no,no,no
giorgiovalll,Giovanni,Chromatica ⚔️,Monster,"RT @gagadaily: Ladies and gentlemen, her https://t.co/58r51tz29H",no,no,no,no,no,no
HookerMarco,▼ Andrew † Marco ▼,Snapchat: Hookermarco,"TV personality, Friend to the stars, Socialite & Executive Arts Director (EAD). For bookings & business enquiries contact @DavidJonesManagement@gmail.com - HM x",RT @Variety: Ladies and gentlemen... signore e signorine Gucci. https://t.co/wkm6oNrGHB https://t.co/cRbKVkFcez,no,no,no,no,no,no
deepvard,DeepVard,,"Justice 101!

Twitter algorithm limits number I can follow (max 5K) until more people follow me (3.52K to go): will follow back thereafter. All bots blocked.",RT @RespectableLaw: I've been informed one of these gentlemen is named AJ Hawk and that's awesome. Perfect fit to be hosting a show with wh…,no,no,no,no,no,no
GGsOnlyHype,GGs.Tv | #GGsOnly,,"Official Promo account for https://t.co/ggFGE89K8g
Use #GGsOnly for retweets!","RT @DaniDemonica: Ladies and gentlemen, Shaquille Orc Neal (ft my awful Shaq impression) #ggsonly #twitch https://t.co/cpGG1i4pn8",no,no,no,no,no,no
glossymotive,lindsay,,22 • communication • metz,"RT @papermagazine: Ladies and Gentlemen, her. https://t.co/sYWd9z1mKr",no,no,no,no,no,no
LambjohnnLamb,UNCLE LAMB.,,hudl: https://t.co/7qm9JoItqE,"RT @PatMcAfeeShow: Ladies &amp; gentlemen IT IS TIME for the 10th book of the @AaronRodgers12 Book Club.. The Daily Stoic by Ryan Holiday 📚📖

#…",no,no,no,no,no,no
isabelimao,Isabel Limão,"Porto, Portugal","Eu não procuro saber as respostas, procuro compreender as perguntas - Confúcio 📚♉☀️🍵 🏳️‍🌈🎶","Ladies and gentlemen, I give you @LaurenJauregui
 #PRELUDE

https://t.co/XTrN6AybC6",no,no,no,no,no,no
GagaGurlxo,𝑀𝒶𝓇𝓉𝓎🖤,She/her✨-Retweeted by Gaga🔥,Exist loudly🔥 •feminist•🏳️‍🌈•💖💜💙•queer af☁️•rock’n’roll spirit🤘🏽,RT @Variety: Ladies and gentlemen... signore e signorine Gucci. https://t.co/wkm6oNrGHB https://t.co/cRbKVkFcez,no,yes,no,no,no,no
EricaMoney3,Erica⭐️ Angel 👼🇨🇲,"Sud-Ouest, Cameroon","All about Erica and Angel!

Business account: @bela_empire","RT @feedwaya: Ladies and gentlemen….
HER EXCELLENCY ANGEL SMITH 

ANGEL SMITH X JENNYSGLOW 
CONGRATULATIONS ANGEL SMITH
CONGRATULATIONS JB…",no,no,no,no,no,no
dkdkdkdkdk0101,DK,,KK fan #TejRan ❣️🔥🏆,"RT @MsTweetLover: Proof that Karan had a crush on Teja since Ladies Vs Gentlemen. He noticed that small thing about her❤️🧿🦜🐺
#KaranKundrra…",no,no,no,no,no,no
21__darryl,darryl,,"me,myself and I 🙂","RT @blacksperms_: Ladies and Gentlemen Dumsor is Back,and it's back for GOOD !!! Infact Dumsor is here to stay !!! hahahaha",no,no,no,no,no,no
cjangtp,CHÉL🌱,MAHALIMA Village,@SB19Official 🇵🇭 fan account📍Frozen Chicken ❄️🐓📍Main: @OT5CJanG 👈,"RT @US_ATIN: 💥Hello, A'TIN!
If you haven't heard, our PPop Kings #SB19 and #Bazinga_SB19 have officially debuted at #9 on @billboard's Week…",no,no,no,no,no,no
stunna__29,#ImStillWithBernie/#FuckUDougFord,"Ontario, Canada",Maple Leafs & Blue Jays fan!!! Hopefully America will wake the fuck up & #FeelTheBern. Also a proud atheist :D,RT @Erik_XI: @ReutersFacts Do people actually believe there would be a sign asking to donate their kids organs? America ladies and gentleme…,no,no,no,no,no,no
mervder,𝐌𝐚𝐫𝐭𝐢𝐧𝐚,"Sicilia, Italia",Your love is my turning page. @clarissagmb,RT @Variety: Ladies and gentlemen... signore e signorine Gucci. https://t.co/wkm6oNrGHB https://t.co/cRbKVkFcez,no,no,no,no,no,no
oliv3online,olive ٩(｡•ω•｡)و,24 • they/them • 18+ ONLY,"resident of elfpond (wip) • cat parent x2 • disabled artist & casual variety streamer • i love comics, LoTR, astrology, nature, art, & gaming. let’s be friends!","RT @guidouscrossing: ladies and gentlemen ✨ him ✨ 
#StardewValley https://t.co/fHHksSBbQA",no,no,yes,no,no,no
ChristusX,Jin Woo,,"for @SB19Official, anime, manga, games, and more...","RT @US_ATIN: 💥Hello, A'TIN!
If you haven't heard, our PPop Kings #SB19 and #Bazinga_SB19 have officially debuted at #9 on @billboard's Week…",no,no,no,no,no,no
_alejandralop,Alejandra,Suburbs but let's say Chicago,"22👧🏻 Born in Cali, Colombia🇨🇴 Illinois🏡 Lewis University🏢",RT @Variety: Ladies and gentlemen... signore e signorine Gucci. https://t.co/wkm6oNrGHB https://t.co/cRbKVkFcez,no,no,no,no,no,no
RodneyEdwards24,Rodney Edwards,,,RT @SigNewton_2: Congrats to @StJoeBaseball1 Sam Thomas and Christopher Watson on signing today. We are proud of you gentlemen! @STJOEBRUIN…,no,no,no,no,no,no
XristosFlrs,Xristos Flrs,,,RT @Variety: Ladies and gentlemen... signore e signorine Gucci. https://t.co/wkm6oNrGHB https://t.co/cRbKVkFcez,no,no,no,no,no,no
sxhwarzen,chun swae,,middle fingers up* whatever beyonce said,"RT @gagadaily: Ladies and gentlemen, her https://t.co/58r51tz29H",no,no,no,no,no,no
rub_rb,RuB,Madrid,Translator / Charts' Geek / Music Lover,"RT @gagadaily: Ladies and gentlemen, her https://t.co/58r51tz29H",no,no,no,no,no,no
planetlexx,𝔞𝔩𝔢𝔵𝔞🖤,Planet Glam 831  ,👨‍👩‍👧‍👦family🤍 • 𝚕𝚒𝚌𝚎𝚗𝚜𝚎𝚍 𝚎𝚜𝚝𝚑𝚎𝚝𝚒𝚌𝚒𝚊𝚗 🧛🏼‍♀️• 🪄lash tech 🕸✨,"RT @gagadaily: Ladies and gentlemen, her https://t.co/58r51tz29H",no,no,no,no,no,no
fallingforhabit,Falling for the Habit,,"As William Shakespeare once said: hello        


•Dee from tracksuit twitter•
20• she/her","sooo... now I'm a student, a waitress, a receptionist, a dance teacher, and a writer as well all at the same time b… https://t.co/1krMcH3xTA",no,yes,no,no,no,no
VesterGaruda18,°•° Yurii👑ҳʑ ₀₁🃏,"Mahalima St., Esbiinayntin ","𝖘𝖎𝖘𝖎𝖜 𝖘𝖖𝖚𝖆𝖉 👑 ESBII: Our kind of Versatility❣️
Their music, talents, skills, intelligence and most esp their personality that makes them stand out.","RT @US_ATIN: 💥Hello, A'TIN!
If you haven't heard, our PPop Kings #SB19 and #Bazinga_SB19 have officially debuted at #9 on @billboard's Week…",no,no,no,no,no,no
NemiaJames,maya james,,All about that 🤑🤑🤑 with $dot $kilt $ocean $movr,"RT @Trobriand15: Ladies and gentlemen,
the first official live presence of @DonnieBigBags will happen in 30 minutes at Banter @cryptomanran…",no,no,no,no,no,no
actsofhero,"‍ ‍‍ 𝓢𝐎 𝐋𝐎𝐍𝐆, 𝑻𝑯͟𝑬͟𝑺͟𝑬͟𝑼͟𝑺.",,⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀,LADIES AND GENTLEMEN,no,no,no,no,no,no
Arafat_BMG,SāLääM Årá Fät ♈ 🚀,Nearby ,"Allah| @stonebwoyb | Madridista |  CR7 🐐| UCC| 💯
ᴮᴼᴿᴺ ᵀᴼ ᴱˣᴾᴿᴱˢˢ ᴺᴼᵀ ᵀᴼ ᴵᴹᴾᴿᴱˢˢ
ᴹᵞ ᴼᴺᴸᵞ ᴸᴼᵛᴱ ᴵˢ ᴹᵞ💗ᎷᎾᎷ💗
ʟᴏᴠᴇ ᴍᴇ ʜᴀᴛᴇ ᴍᴇ ɪ ᴊᴜsᴛ ᴅᴏɴ","RT @blacksperms_: Ladies and Gentlemen Dumsor is Back,and it's back for GOOD !!! Infact Dumsor is here to stay !!! hahahaha",no,no,no,no,no,no
woodsyst,Steve Woods,South Shields,,"@Mattwhu Have you seen the gentleman, if you like that and Snatch then the gentlemen will@be right up your street 👍🏻",no,no,no,no,no,no
dilfluver3000,carli,she/her,good soup,RT @Variety: Ladies and gentlemen... signore e signorine Gucci. https://t.co/wkm6oNrGHB https://t.co/cRbKVkFcez,no,yes,no,no,no,no
HarOOnMian19,HarOOn Mian,"سیالکوٹ, پاکستان","Proud to be a MUSLIM
#Insafian","RT @mdk_gul: Had a wonderful time with these gentlemen. @AliHZaidiPTI I admire your cricketing knowledge, thank u so much for your time n h…",no,no,no,no,no,no
Rumble46527354,Rumble,,,RT @Apoorvanand__: Saw 'gentlemen' congratulating a man with blood on his hands of thousands of Muslims on his birthday. It shows the moral…,no,no,no,no,no,no
RichImperial,Rich Imperial,Somewhere Out There,"Only when the RIVER has been poisoned. The last tree CUT. The last fish CAUGHT. When man REALIZES, he cannot eat MONEY... 理查德",RT @LakasNgTimog: Villar connected the Filipinos to the rest of the PH. Tugade made all modes of transportation more convenient for all of…,yes,no,no,no,no,no
cowboylikeclean,ada🦦,Argentina,{she/her • 21 ~forever is the sweetest con~,RT @Variety: Ladies and gentlemen... signore e signorine Gucci. https://t.co/wkm6oNrGHB https://t.co/cRbKVkFcez,no,yes,no,no,no,no
cy_opulence,CHINELO,Toronto,i simply say yes to the things that visually please me.,"ladies and gentlemen, her. https://t.co/QhiGz7yoZl",no,no,no,no,no,no
___delasoul,Tokyo,,The love of your life,But they opened a gentlemen’s club and brewery within distance of each other 🧐,no,no,no,no,no,no
0NLYF0RL4RRY,🇦🇷〄 cielot91lvsluz 🫀//blgc 🏡,"✗✗
 ⏝","#BornThisWayAnniversary
  


I was born with my freedom
Don't tell me I'm less than my freedom🖤
❤️‍🔥⃠","RT @gagadaily: Ladies and gentlemen, her https://t.co/58r51tz29H",no,no,no,no,no,no
CaffienatedPleb,Flip Of The Flop,,"Still Here :,(",Ladies and gentlemen . Her : https://t.co/c8u5rnoGfN https://t.co/jytim4BGFw,no,no,no,no,no,no
ElenaIzanloo,Elena🧣♏️ DRIGA RIGHTS,House of Gucci,Coverist 🎤 Swiftie and Rat/Passenger ❤️ Bulletproof💪 “ He’s a huge goofball” - Lady Gaga,"RT @papermagazine: Ladies and Gentlemen, her. https://t.co/sYWd9z1mKr",yes,no,no,no,no,no
BareEleganceLAX,Bare Elegance LAX,Los Angeles LAX Area,L.A.'s Best Gentlemen's Club...- Zagats Restaurant Guide Open everyday at 11AM,Happy Taco Tuesday 😋🌮 @ Bare Elegance Gentlemen's Club https://t.co/hrj3xeptAc,no,no,no,no,no,no
lijenpp,li,,"so long as he’s with her,he’s on the right path.",RT @Variety: Ladies and gentlemen... signore e signorine Gucci. https://t.co/wkm6oNrGHB https://t.co/cRbKVkFcez,yes,no,no,no,no,no
nicc0log_,niccoló👼,Collodi ♡,"sarà il fascino del pariolino;
georgi👬//jane💕





REAL SHE/HER



FAN ACCOUNT","RT @DeckerTrixie: ladies and gentlemen, me https://t.co/j6PaNehLet",no,yes,no,no,no,no
agntagnt1,agnt agnt,,Hi,"RT @MsTweetLover: Proof that Karan had a crush on Teja since Ladies Vs Gentlemen. He noticed that small thing about her❤️🧿🦜🐺
#KaranKundrra…",no,no,no,no,no,no
oyehaanji,nas,,notifs are off stay pressed ✖️,@adkinsupremacy ladies and gentlemen... HER,no,no,no,no,no,no
reubenhaynes,reubenhaynes,,"E pluribus unum: Ego sum vir universal One out of many, I am the universal man! I am Reuben Christopher Haynes!",@HAWTToys @MauLer93 @Nerdrotics Here you go gentlemen. The amazing Salma Hayek! #makebreastsgreatagain HAIL! https://t.co/4cQ6sfiDOA,no,no,no,no,no,no
thekirinfanatic,THE UCHIHA CHRONICLES,Final Valley ,"He/him , ENFJ-T, “You are weak, Why are you so weak? Because you lack… hatred” IFB/DMs are open",Ladies and gentlemen I am starting “God Of Highschool”,yes,no,no,no,no,no
MichaelJElston,Buzz Burbank,Tampa FL,"Retired journalist, Tuesday cohost of The Bob Cesca Show","Ladies and gentlemen...Tuesday. 

(&amp; the latest Bob Cesca Show is here.) 

https://t.co/os5ezBzli8
 @bobcesca_go",no,no,no,no,no,no
akastronger,m,,if I could fly,"RT @TODAYshow: Ladies and gentlemen, HER. #HouseOfGucci https://t.co/3jNJGOc1lS",no,no,no,no,no,no
katesprince,Sparkle,,"a lesbian with a cold heart. Clint Barton, Kate Bishop, Zatanna and The Question stan who is constantly struggling. she/her #BlackLivesMatter",Ladies and gentlemen. Her 🥰 https://t.co/RVeryNXrML,no,yes,no,no,no,no
WendyCu06641694,Wendy Cunningham,,DO NO HARM BUT TAKE NO SHIT. I WILL DEFEND DUCHESS MEGHAN AND CANDICE PATTON WITH THE LAST DROP OF MY BLOOD.,"RT @queen_meghan14: Ladies and gentlemen, HER! https://t.co/wXFlIKkkep",no,no,no,no,no,no
HankFinch,Hank “☠️Child Skeleton☠️” Finch,Stuck in an air duct,👻I'm a Mummy limping into the sea 👻,@snlhostsintro Ladies and gentlemen https://t.co/g27SOpRDkV,no,no,no,no,no,no
paniagua_sa,MAN IN THE ARENA 🏟 🇩🇴,"New York, NY","Down 3-1 but life about to blow that lead 🙏🏽. #Yankees, #Lakers work hard 24/8 🐍💜💛 RIP Kobe and GiGi","RT @CzarAugustus2: Reminder to clip your nails gentlemen, hands and feet. Pedicure/manicure it doesn’t matter, get it done. No excuses. It’…",no,no,no,no,no,no
Angus_Globes,Mr Marbles,,,"@StephieSmallls Ladies and gentlemen, Tony Robbins",no,no,no,no,no,no
Ching1k,•Ching,1x 💍,나 자신 대 모두 | @RiskTakers2K 📮 |,"RT @TheBlizzardTC: “THE BLIZZARD TEAM”

Official TC roster for @KingsGuardGG tournament.

♟ @Darweshi12 
🎯 @BigStunStun 
🔒 @xKingsWorld 
🐶…",no,no,no,no,no,no
angusjstobie,Angus Stobie,,Scottish actor @ Manchester School of Theatre,RT @Variety: Ladies and gentlemen... signore e signorine Gucci. https://t.co/wkm6oNrGHB https://t.co/cRbKVkFcez,no,no,no,no,no,no
___MXNSX___,Lady Monster,,"❤️‍🔥 If you're a strong female, You don't need permission ❤️‍🔥",RT @Variety: Ladies and gentlemen... signore e signorine Gucci. https://t.co/wkm6oNrGHB https://t.co/cRbKVkFcez,no,no,no,no,no,no
TheRealDarinZ,Darin Zdziarski,"Wisconsin, USA",Aspiring to be the next Ron Swanson,"RT @PatMcAfeeShow: Ladies &amp; gentlemen IT IS TIME for the 10th book of the @AaronRodgers12 Book Club.. The Daily Stoic by Ryan Holiday 📚📖

#…",no,no,no,no,no,no
Cessie30,Cessie30 @US_A’TIN🇺🇸🌱,"California, USA",🍗🍓🌽🍢🌭 (SB19) OT5 💙 (PabKen),"RT @US_ATIN: 💥Hello, A'TIN!
If you haven't heard, our PPop Kings #SB19 and #Bazinga_SB19 have officially debuted at #9 on @billboard's Week…",no,no,no,no,no,no
not__rashed,not.rashed,المملكة العربية السعودية,,Ladies and gentlemen it's match day #dannyaaronsfut https://t.co/ivv1ShrSPK,no,no,no,no,no,no
pauliiiiine__,poupou,France,🍻☕,"RT @gagadaily: Ladies and gentlemen, her https://t.co/58r51tz29H",no,no,no,no,no,no
