screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir,ze/zem
talking_cactus_,Talking Cactus 🏳️‍🌈,Ice cream store,Certified clown* | Cats enthusiast | International simp | 🇨🇴| 21 | DM’s open | *no member of the clown society™️ has certified this individual,"@himbo_anonymous My sun in Virgo, Aries rising and libra Venus say hi 👉🏼👈🏼",no,no,no,no,no,no,
Elyrian_XIII,Elly 💚🤍❤️, ,"No braincells, loves to talk & spam. Consider yourself warned.
POKEMON GOT ATB!! 
Mastermind behind @CloudyBnuuy",I love himbo LXC. He makes me feel smart 😂 https://t.co/j4D56PtzbC,no,no,no,no,no,no,
leftist_himbo,🇧🇴Leftist Himbo ☭ 🇦🇲,"Austin, TX","Your local Marxist Himbo ☭ | he/him | 🤙🏽 Bolivian, Lebanese, Armenian. | Anti-Imperialist, Anti-Fascist | 18+ 🔞","@JLStateofNature I already know what the other side thinks, I was curious to see whether there were differing opini… https://t.co/pMHzVeMyMq",yes,no,no,no,no,no,
pantslessfelix,kc (➰〰️➰),Felix’s Guts,I play that one 4v1 game. Felix/Leon Main | Nurse Enjoyer | he/him | 21 | gay boy | creator of things | Rendered my own PFP 😋,@fengtheemin Omg so much better without those weird Oakley looking glasses. DBD Himbo 😮‍💨,yes,no,no,no,no,no,
M3m3shadow,Memeshadow,United States,Self Proclaimed Indeedee Queen and Moon Ball Enthusiast. Multifandom Galore. (She/Her/25),"Zack, activating Himbo Mode: So, you come here often?

Cloud: I work here, Zack. I practically live in this building at this point.",no,yes,no,no,no,no,
lindaaddyy,🇭🇳lindaddy aka Raquel aka ur mom🇭🇳,Ur head ,Aquarius,My favorite himbo 💖 https://t.co/NIkRWqJ69m,no,no,no,no,no,no,
supreili,rayan,He/They | NYC 🗽,wayyy to into FFXIV (in Hyperion on Primal) || you guys didn’t see that last one #FreePalestine,"@himbo_anonymous wow, you killed me",yes,no,yes,no,no,no,
JLStateofNature,John Locke,,"Father of Liberalism

Live free or die.

Kyle Rittenhouse is innocent.",@leftist_himbo Echo chambers are fun I guess.,no,no,no,no,no,no,
koionoi,Noi,,🏳️‍🌈 Piss pants Artist 15 She/they,"Here’s some pokemon and owls.
The human is an ancient oc of mine, Lucario Mask. I really liked the anime back then… https://t.co/Yy8MgbQSzP",no,yes,yes,no,no,no,
leftist_himbo,🇧🇴Leftist Himbo ☭ 🇦🇲,"Austin, TX","Your local Marxist Himbo ☭ | he/him | 🤙🏽 Bolivian, Lebanese, Armenian. | Anti-Imperialist, Anti-Fascist | 18+ 🔞","@JLStateofNature I forgot my account wasn’t on private anymore, I was only interested in polling my followers",yes,no,no,no,no,no,
guerinsbff,harley,fool4wayv - thiam au 📌,you know how to ride a horse? @reyesbvckley,@dunbarsluvr nah u r scott a himbo in love w allison,no,no,no,no,no,no,
