screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
artselmila,marie,she/her,hope & josie,"RT @SelenaFanClub: Ladies and gentlemen, ...her. https://t.co/gAkcMQmuPP",no,yes,no,no,no,no
idy_you,คลั่งรักรีไวล์เฮโจว✨,"นากลาง,หนองบัวลำภู",มีไว้ไม่เหงา🍀 nct คือนิพพาน🐰🌈 nctZEN -𝙻𝙴𝚅𝙸 𝙰𝙲𝙺𝙴𝚁𝙼𝙰𝙽-,"RT @SelenaFanClub: Ladies and gentlemen, ...her. https://t.co/gAkcMQmuPP",no,no,no,no,no,no
aleece95,Alee Gómez Cantero (I'm very rare),,"Ice Cream Chilling Chilling!!!
🎶🎶🎶","RT @SelenaFanClub: Ladies and gentlemen, ...her. https://t.co/gAkcMQmuPP",no,no,no,no,no,no
tlicsean,𓃱 sean renae 𓃱,,,"RT @SelenaFanClub: Ladies and gentlemen, ...her. https://t.co/gAkcMQmuPP",no,no,no,no,no,no
gngeilish,moon,ilomilo,🧸📦:: dove’s bestie here • she/her,@ArianaGrande @theweeknd ladies and gentlemen they are back,no,yes,no,no,no,no
jocyzamora,Jocy Zamora,"Los Angeles, CA","Instagram @valeria_jocy_ [Cali🌴🌴][ ♍.23] جوسلين
🇺🇸🇲🇽
 FOR PROMOS DM ME FOR MORE INFO.",@annelisejr Well thats becuase he is a little gentle gentlemen. He is of class not like any other dog. https://t.co/3biKsmqDQl,no,no,no,no,no,no
rarextiny,•NATHALIE•,,,"RT @SelenaFanClub: Ladies and gentlemen, ...her. https://t.co/gAkcMQmuPP",no,no,no,no,no,no
louvdove,grace ☾,she/her  ,"the poetry of sappho, by sappho | @lucythevaIiant' partner in crime ͏͏ ͏͏͏ ͏ ͏͏ ͏ ͏","ladies and gentlemen, the queen https://t.co/vC7fc9A3Hy",no,yes,no,no,no,no
Kagoguine_,Karol with K,,"At the end of the day, it is what it is ◟̽◞̽

instagram: @karol_with_k_","RT @bestofsos: michael clifford, ladies and gentlemen https://t.co/Zr25is35qb",no,no,no,yes,no,no
sp0461,Steven Palmer,,,"RT @Maureen6Johnson: Imagine despite being told on several occasions their actions would kill your loved ones yet ignored same, ploughing o…",no,no,no,no,no,no
NurulNuxy,N.X,,To love yourself. To respect yourself. To value yourself.,"RT @SelenaFanClub: Ladies and gentlemen, ...her. https://t.co/gAkcMQmuPP",no,no,no,no,no,no
makonised,Makonise Dion,,,"RT @edward_charie: Ladies and gentlemen...if it is not for Christ,it is antichrist....there is no middle ground

God will never lower His p…",no,no,no,no,no,no
selenacrux,leandro," lover, track 13 ♡",plataforma 9¾ ⚡,"RT @SelenaFanClub: Ladies and gentlemen, ...her. https://t.co/gAkcMQmuPP",no,no,no,no,no,no
BleakSolo,Bleak,"Los Angeles, CA","SFSU Grad, Part-Time Hip-Hop Artist, Associate Producer of Zack Snyder’s Justice League, & Host of The BleakSolo Podcast.","RT @SelenaFanClub: Ladies and gentlemen, ...her. https://t.co/gAkcMQmuPP",no,no,no,no,no,no
Koki_Manda,koki_manda,,,RT @UTDHamzyj: Ladies and gentlemen I present to you Fifa 22😃 https://t.co/rApJ5Dpd3p,no,no,no,no,no,no
sufferlight,Rose ☀,,"I archive stuff that I like, here !!! she/her | Fan Account","RT @SelenaFanClub: Ladies and gentlemen, ...her. https://t.co/gAkcMQmuPP",no,yes,no,no,no,no
ChannelCamden,Camden and The W. Soldier Era,Where I Live,"|15|Huge fan of things like Marvel, Sonic, DC, TMNT,etc| Youtuber talking Movies and Shows| Super Hero Squad Stan","Ladies and Gentlemen say hello to the next Marvel hero, Shang Chi.            #ShangChi. https://t.co/OGNPbA4Aej",no,no,no,no,no,no
eyrahshf,syahirah,,b4bygirl,"RT @SelenaFanClub: Ladies and gentlemen, ...her. https://t.co/gAkcMQmuPP",no,no,no,no,no,no
softkadee,jess,• 24 • she/her • NSFW •,"#KADEE Crazy American girl, not knowing where she’s goin or what she’s doin but it’s gonna be good fun ♥ #CHRISEVANS *Multifandom*","Ladies and gentlemen, her. https://t.co/v19560AOca",no,yes,no,yes,no,no
itssamypau,peach girl,she/her/ella,god loves feminism and homosexuality,"RT @SelenaFanClub: Ladies and gentlemen, ...her. https://t.co/gAkcMQmuPP",no,yes,no,no,no,no
gigglyhao_o,zeph ⨟ edits on 📌,caratland ♡ ,hit the road ep. 05 | my my - 00:26 | she/her,"RT @solovt: ladies and gentlemen, HIM. https://t.co/6TpsXBfTB1",no,yes,no,no,no,no
hfzmds,hafiz,palisades,follower tb2 ilang semua follow lg dong thx :'{,ladies and gentlemen please welcome to the stage : worse than the bare minimum,no,no,no,no,no,no
blackpyynk,𝐆! 𝐕𝐃.Kennie 𝐒𝐜𝐡𝐦𝐢𝐝𝐭 𝑀𝑎𝒉𝑒𝑠𝑤𝑎𝑟𝑎,SlREMORK's source of ♡,"「RP」Kim Jennie. A pretty savage member of BLΛƆKPIИK who was born in 1996. 
Part of #JENAT & #MAHIJA. Currently on ts","ㅤ

         🌸 Flowers from Gentlemen 🌸

ㅤ https://t.co/wdV56LSgf0",no,no,no,no,no,no
So_adora0,Dreamer 🌺🍊,"Madrid, Comunidad de Madrid",Selena is coming,"RT @SelenaFanClub: Ladies and gentlemen, ...her. https://t.co/gAkcMQmuPP",no,no,no,no,no,no
starisnotsus,Star🌟,Polus,Stardust | They/them | 20 | @amongusava is my cheesy princess | Comms open: check pinned for info,"RT @_Oneir_: Ladies and Gentlemen! I have the pleasure to announce that amazing friends and myself decided to do a ""Secret Shipper""! We shi…",no,no,yes,no,no,no
Spplendid,Spplendid,,EDM Producer. ADIWAVE Out Now!Click the link,RT @UTDHamzyj: Ladies and gentlemen I present to you Fifa 22😃 https://t.co/rApJ5Dpd3p,no,no,no,no,no,no
TaylenaGoals,charis,DR,"If you mad, stay mad, we not alike","RT @SelenaFanClub: Ladies and gentlemen, ...her. https://t.co/gAkcMQmuPP",no,no,no,no,no,no
AlbertoPavan5,🇬🇧 Alberto Pavan,,"tech passionate, software developer, cat lover
Start the day with a smile and end it with a bottle of wine 🍷","RT @MattCartoonist: 'Gentlemen, no one likes us, we don't care'

My latest cartoon for tomorrow's @Telegraph 

📬 Subscribe to my weekly new…",no,no,no,yes,no,no
Evanderhughes,Robert win hughes,,,@michaeljohnbad1 RIP Gentlemen thankyou for your servoce.❤️❤️,no,no,no,no,no,no
alexrosu_,Alex Rosu ➐,Spain - Hogwarts,♓ Spain 🇪🇸 Romania 🇷🇴. @Selenagomez my queen. @justinbieber taught me to play the guitar. Singer & Songwriter.,"RT @SelenaFanClub: Ladies and gentlemen, ...her. https://t.co/gAkcMQmuPP",no,no,no,no,no,no
dooleyanthony,Tony Dooley,"ÜT: 53.5782898,-2.4288899","for those that know me follow me. for those who don't follow me anyway, it's fun",Ladies and gentlemen I present to you the most fantabulous streamer of Anno @PKS_Games. Feel free to view him and f… https://t.co/z9KDLytdIc,no,no,no,yes,no,no
django_leee,COUNTER ATTACK,,I run a sneakers wash&care business. please check&follow my IG @djangoshoecare to see our services. Fashion stylist; Pet lover🐕 ❤️. NO ONES FANATIC!,"RT @JessicaOgwatar: Ladies &amp; Gentlemen, 
how are we preparing for 2023 election. We need new party comprises of 60% men and 40% women. This…",no,no,no,no,no,no
GARYAPPLEBY20,Gary Appleby,"Beverly Hills, CA",,@robbiemustoe Watching both Robbie Mustoe &amp; Robbie Earle in discussing the reality of the effect that the Superleag… https://t.co/ahArJMcNTi,no,no,no,no,no,no
Lawrenc06830641,Lawrence Izuagie,"Lagos, Nigeria",The Voice,"RT @theonly1acre: Ladies and Gentlemen, welcome to Propaganda 101.",no,no,no,no,no,no
milfluvr01,chen weihua tweet connoisseur,illinois,cl🧍🏽‍♀️20 🧚🏽‍♀️ they/them @pslweb,ladies and gentlemen after two weeks i am sadly announcing i am once again leaving unemployed twitter,no,no,yes,no,no,no
