screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir,ze/zem
smilewept,-ˏˋ⋆🖤.,J / 21 / tired.,"multi - fandom / genji shimada, if you're out there . m: @tonguevenom","@himbo_depot You've said too much, the fbi is on their way",no,no,no,no,no,no,
shana19384,Shana,,"Anime. Memes. 18+. Kawoshin, Victuuri, HuaLian, KyoSaya, Hannigram, RichHen, Full Score Trio (NER/REN). I’m 20 (20歳) 🤗 Don’t post much, but love to retweet 💕",RT @EarlCrayTea: IDEAL BIMBO HIMBO RELATIONSHIP https://t.co/4JNs49hPr9,no,no,no,no,no,no,
ereshnap,ereshnap is #orn¥,check my carrd bitch,#sapnap: did i stutter? stupid bitch | grand duchess of not putting nsfw tags | 🇵🇭🏳️‍🌈✨,just realized that kenji is a himbo and i am now a slutty whore for him https://t.co/G3EPxvNThF,no,no,no,no,no,no,
BrandonLand_,Brandon Land,"Oakland, CA","Illustration Lead @Robinhood | Beers, Bikes, Basketball Galactica | Riso Prints and Zines @DrumsInTheDeep_ | I contain multitudes",@OnlineAlison And Mitchell might be a great himbo,no,no,no,no,no,no,
ro_atticus,Rowan Atticus,,"15
They/them
Panromantic
If you will listen to me rant about fashion history and greek mythology, we can be friends",@payabunni he a himbo :),no,no,yes,no,no,no,
bluishpeacebone,animal collective liker,art account @keatoncore,"keaton/static🌴15 he/they/kit/pup 
i run @omLYRICSBOT & @keatoncoolbot 
‼read my carrd (byf section, others are optional) and pinned thread‼
🌈🤹‍♂️🐧 💖💜💙 🦇",im a creep im a himbo,yes,no,yes,no,no,no,
pbncelly,peanut butter n celly,🇨🇦🇩🇰,celica • 18 • mdni • she/they • lesbian • 240 days hrt • poly • virgin. •,@PUPPJP himbo energy,no,yes,yes,no,no,no,
Sonic_peed,just some guy,Germany ,"He/They

Header by @DeadliftDuck 

I like cars that are pretty much extinct. My favourite is the Volkswagen Polo 86c breadvan.

That's it, my whole personality","@moonsmoothie How many modes are there?

Boy mode
Girl mode
Milf mode
Himbo mode
Sicko mode
What else?",yes,no,yes,yes,no,no,
JamieCarey311,Jamie (Bridget Brigid) Carey,"San Francisco, California",Comms: @cacollegedems & @buttecountydems Pres: @chicodemocrats Prev: @oberforchico @organizemi2020 & a lil @michigandems and @ewarren⭐️she/her⭐️views are my own,@MValentine1999 “emotional support himbo” yes,no,yes,no,no,no,no,
hyonzui,ًandy,THEY!THEM ୨୧,kingdom come slaps idc what y'all say,double patty is another title for irene and the himbo jock,no,no,yes,no,no,no,
Maeillory,Meaty Flesh Bag of Cosmic Stardust ✨🌍🌎🌏🌐,Earth 1 Sector 50,"chaotic good.  Master gardener. Chief Imaginarian.
Known bipolar snake. Timekeeper.  Full time Muse. Accidental comedian. Psychonaut. gr8 mom ok wife",RT @ElSangito: the tiny clap breaks still completely murder me. bless this mesmerizing forest himbo,no,no,no,no,no,no,
karevyangs,shiloh,she he xe | black | carrd byf,tv marvel and music,@petergamoras LMAOOO well he’s not a himbo bc he’s smart BUT he’s still a sweet and funny meow meow,yes,yes,no,no,yes,no,
emilysw0rld,emily🪞,,19 (she/her),want a himbo,no,yes,no,no,no,no,
DeepBlueTerra,テラ 🦈‼️ (Terra) 🔞,Home,Artist 💙@MinnowCandy ‘s Husband💙 Enemy of the State 😈 BNR&PFP: @Tytofi Fanart:#Terrastration Nsfw Tag: #NSFDeepBlue Scuff Mama:@1cent_loudy,@titstanium Are you gonna say Himbo?,no,no,no,no,no,no,
petergamoras,ً,was karevphobic,cw mcu movies,UMMMMM i thought scott was a himbo sweet meow meow not an inmate.,no,no,no,no,no,no,
