screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
NegronDoc,Gerry Negron,Shreveport,"Progressive ID MD, #HIV, LGBT & Women's repro rights, #healthcare for all. Loves roller skating. No RWNJ. Married to Dem Activist. Soy 🇵🇷 #PuertoRicoRelief",RT @TheRealAndrew_: Love how President Biden is such a gentlemen and helps the First lady off of Marine 1. #ThankYouJoe https://t.co/j7kMV4…,no,no,no,no,no,no
JusticeC_A,Justice,,"Sports, Literature, Animal rights,Proud Liberal",RT @TheRealAndrew_: Love how President Biden is such a gentlemen and helps the First lady off of Marine 1. #ThankYouJoe https://t.co/j7kMV4…,no,no,no,no,no,no
lhiyahhh,annelhiyah,ög luvs ,05.17.05 💍 loml,RT @badestoutfit: ladies and gentlemen her https://t.co/lSdOZGHm8y,no,no,no,no,no,no
riffraff0001,💧Chief Wiggum #TheResistance 🌊🌊,,"Just a shit kicker
In the big scheme of things, Not a failure of evolution.       Ideaology: When Injustice becomes Law, Resistance becomes Duty","RT @chrisan51147433: @Acyn The GOP is just filled with stand-up ""gentlemen."" https://t.co/YPhgVQIzp9",no,no,no,no,no,no
Big_Bald_John,🇨🇦Big Bald John🇨🇦,"Ontario, Canada","Probably on my way to HR, yet again.","@TorontoPolice Just want to say thank you to the officers for the excellent service, attitude, and integrity shown… https://t.co/5jeLJNZv4e",no,no,no,no,no,no
aby_rmzp,Abril Ramírez,,Siendo cool since 2003,RT @badestoutfit: ladies and gentlemen her https://t.co/lSdOZGHm8y,no,no,no,no,no,no
waaanaiman,waneman,,"pain is temporary, pride is forever #YNWA","RT @flwrsxB: Ladies and gentlemen, this is why we need younger politicians.",no,no,no,no,no,no
shortyaisya,**,kampung durian runtuh ,,"RT @flwrsxB: Ladies and gentlemen, this is why we need younger politicians.",no,no,no,no,no,no
hiitsmeingriddd,ingrid,🇵🇭,Deuteronomy 31:6  // CPA✊,RT @badestoutfit: ladies and gentlemen her https://t.co/lSdOZGHm8y,no,no,no,no,no,no
MichaelAckley19,Mike Ackley,Butler-Tarkington,"Butler, HC alum. I need a hug. I tweet too much. ⚽️ and🏒🥅 intern. Wear a mask and get the vac","RT @tsnmike: Reds are now in last place behind Pirates, who (organizationally) aren’t even trying this season. That’s a heck of a week, gen…",no,no,no,no,no,no
