screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir,ze/zem
zachham54,Zach ☁️,Iowa State University,still waiting to become a digidestined,"we’re live for @imirregulargirl bday party: BRATZ III ! Come now homos women and theydies 

https://t.co/N0FofzLQCp",no,no,no,no,no,no,
mxchxllxx,v.michelle 💫,htx y 🇬🇹,"yes, that’s my dog as a tribe of Ewoks | she/her | UH Alumna","and remember ladies and theydies, anything can be a w3@p0n if you just add enough force to it! https://t.co/kEyhdIiE6A",no,yes,no,no,no,no,
zelphine_,Girlboss Zel ☆,in my feelings,21 ☆ they/them ☆ twitch affiliate ☆ sleepy ☆ death positive ☆ black lives matter ☆ 🏴󠁧󠁢󠁳󠁣󠁴󠁿,"girlboss era is in session, theydies",no,no,yes,no,no,no,
tiddybitch666,"blade (formerly bitchintiddy, tiddybitch1, etc) 😔",,I got locked out of yet another aaccoynt on the twitter dot com god has forsaken me I’m still a BAMF tho yesastripper 18+ what else did my old bio say,the whole national r word day could very well be a troll thing but u can never be too safe and it’s absolutely terr… https://t.co/byeuKeDXz0,no,no,no,no,no,no,
levisoto98,Pot Husband,,"6 feet of diluted weed and s(ass). If you want a good hug, I’m your dude. Also happily taken. Amy 11/04/2017",Alright gentleThems and Theydies let it rip!!! https://t.co/u003X3RvDz,no,no,no,no,no,no,
oriridraco,Abigail Markov,"Florida, USA","Painter, weaver, spinner, maker of soap & incense, damn good photographer. Bleeding heart, no health care to fix it.

Aka: Mom. They/them. 

Member: @artcanorg.","Pen nibs, theydies and gentlethems - really, really nice pen nibs.

My collet chuck, pen taps and dies, and knurled… https://t.co/bfLIM8VuL7",no,no,yes,yes,no,no,
TiffdaGriff,Jane Doe,413 to 713,"“Be you. Love you. All ways, always.” #AllBlackLivesMatter | #ΑΦΩ | #ForeverFonzo 💜","I was watching the preacher’s wife last night and whitney houston ladies, theydies, and gentlemen. 

a voice like no other, whew.",no,no,no,no,no,no,
vmkr_,😈,"Houston, TX",HTX • 23 • IG: @vmkr_ 🖤🥰,"RT @ellebasi_noxim: Help me pay my bills ladies and theydies 🖤🥺 spread da word 🥸

https://t.co/PS5rxfm3uA

2946 S Shepherd Dr
Houston, TX…",no,no,no,no,no,no,
QueenlyKitsune,QueenlyKitsune #BLM,,"nonbinary. 
they/them.

artist | gamer | twitch affiliate | writer 
https://t.co/rbaclyvkFC","We're live, theydies and gentlethems! https://t.co/551qqWIp0L https://t.co/Xkxzv7Osyl",no,no,yes,no,no,no,
svgwhitelotus,Xuân Rayne🌿SD & FMTY,"California, USA","Verrry elite high end hooker. Queer. Tiny, hairy, non-binary riding bikes. 🚲🏴💚🔥viet kinh. 18+ Decrim SW abolish the police. svgwhitelotus@protonmail.com","The nordic model, theydies and gentlethems. Where u don’t even have to listen to the needs of people currently trad… https://t.co/12eJC7QKRR",no,no,no,no,no,no,
