screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
Sahveeyo,Jack Grealish ➐,Trinidad and Tobago,Cactus Slatt Forever 🐍 @AVFCOfficial 🔴,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
pikongchan,化け猫 🤍,Indonesia,"👒(๑•́ ₃ •̀๑) mind living in 90s 
キンキキッズ KinKi Kids ⭐ CAUTION ❤️💙🔞 freetalk . Koichi's my 初恋, Tsuyoshi's my お兄さん.
🌸WagakkiBand🌸 Studio Ghibli 🌠",Gorgeous gentlemen 🤍 https://t.co/EYW1xlALSz,no,no,no,no,no,no
JackShelstad,Jack Shelstad,"Minneapolis, MN",I tweet ab the Knicks...,"RT @nyknicks: Ladies and gentlemen, Julius Randle. 

That's it. That's the tweet. https://t.co/QHRy9AmvDb",no,no,no,no,no,no
_ramjan__,Farhan Ramjan 🇵🇸,,Free Palestine🇵🇸 simp F*ck Pogba FC and Martial FC #KONFC #MONKE,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
aezl21,aezi,at home.,@mancity & @sonic_hedgehog | myself,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
Wesleypainter21,Wesley,,"Well hell, welcome back to the show my friends",Stay tuned ladies and gentlemen https://t.co/OBoGrDFZzc,no,no,no,no,no,no
SZNSancho7,Ŧєɭเא,,Manchester 🐝 | priv: @ftblmcr,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
JPsWorldPod,JP’s WORLD,,"Host of The JP’s World Podcast about Motivation, Sports, Movies shows and more, 49ers 💛❤️, Positivity.","RT @Epiloguers: DJANGO UNCHAINED (2012)

Gentlemen, you had my curiosity. But now you have my attention. https://t.co/HAb8JEoAgZ",no,no,no,no,no,no
alanrafa21,𝘼𝙇𝘼𝙉,Buitenzorg 🇮🇩,number 1 larissa and ana's hater.,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
heesey_bot,ξ｀∀´ξ,東京下町,子宮に響く獣低音ベース！老いてますます盛んなギャルオヤジことTHYELLOW MONKEYの広瀬“HEESEY”洋一おやびんの江戸前非公式bot,LADIES AND GENTLEMEN I'M A REAL OBSTINATE ROCKAHOLIC (SPIRIT FREE),no,no,no,no,no,no
Oliver_mufc_,Oliver,,@RetfordUnited,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
raptors0711,Nafan,"Rockford, IL",UIowa ‘23  Black Lives Matter,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
_abdulmujeeb14,AbdulMujeeb,,,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
bigmanfrog94,Adam Froggatt,,,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
_AimanZufayri,zfyr,"Setiu, Terengganu",🇲🇾 | Terengganu FC | @ManCity | @FootballManager |,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
S_N700_bot,東海道・山陽新幹線bot,東京⇔品川⇔新横浜⇔名古屋⇔京都⇔新大阪,東海道・山陽新幹線関連のbotでございます．要望や間違い等ございましたらDMにてお知らせ下さい．自動フォローとなっております．,"名古屋着2
Ladies and gentlemen. We will soon make a brief stop at Nagoya.",no,no,no,no,no,no
Reakoh,Reakoh,,FC Bayern - FC Porto - Atlético Madrid - João Felix - OSC Lille - Renato Sanches  *Cam Newton all the way!*,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
IAmDjole,Ђошло,,sports #DelijeBicuDelijeOstacu,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
meeeyaaa_,meeeyaaa,NYC,fuck you,@erikinternet take notes gentlemen,no,no,no,no,no,no
jayson_yator,𝐝𝐨𝐧.𝐲𝐚𝐭𝐨𝐫,Stamford bridge,👁️⃤,"RT @XivTroy: There is that rare, tender silence right before it rains. Even trees know not to move, &amp; cows know not to moo. For a moment al…",no,no,no,no,no,no
cclovephd,CCLove,"California, USA",e pluribus unum or Nah? #ClimateCrisis #BLM #WhereAreTheChildren? #GunReformNow #VotingRights,"RT @ejeancarroll: Ladies and Gentlemen!

I hereby open-up NOMINATIONS 
FOR ""SLIMEBALL OF THE MONTH.""

The winner will appear at the end of…",no,no,no,no,no,no
johnpeltier,John Peltier⚜,#NOLA ➡️ #ATL (Alpharetta),"MSc, PMC-IV. Product Marketing @Convercent by @OneTrust. #GRC/#Risk/#Compliance/#Ethics/#ESG. PAX @F3Alpha/@F3Nation. Opinions mine; RT != Endorsement.","Great turnout, gentlemen! #F3Nation https://t.co/Hp4VE5WsUH",no,no,no,no,no,no
IsaacSutil96,ISAAC MALDONADO,"Sevilla, España",Lo único imposible es aquello que no intentas.,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
Uhunyeparody,UHURU KENYATTA,"Nairobi, Kenya",parody Account of the fourth and current president of the republic of Kenya ...here to socialize with Kenyans..I LOVE KENYA 🇰🇪,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
dmnchss,Dominic,,It's all about the passion. ⚽️,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,yes,no,no
300locsNrunnin,D'evils_Advocate,"Atlanta, GA",FBA (Foundational Black American),@laurp24 Come on! What did you expect equality was? Most of us seen chivalrous men get played too many times. Women… https://t.co/wrB5KKD97c,no,no,no,no,no,no
EROHealthComms,Erica ✌🏻(Wear a mask) 😷,"New York, USA","Fixer & 25 yr Provider of healthcare communications solutions, clinical trials, #ResearchMatters Liver of life @CourtWatchNYC volunteer","RT @ejeancarroll: Ladies and Gentlemen!

I hereby open-up NOMINATIONS 
FOR ""SLIMEBALL OF THE MONTH.""

The winner will appear at the end of…",no,no,no,no,no,no
mcfcjosh9320,Josh🦧,"Manchester, England",Sterling is the best forward in the world,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
demiwishess,𝕮𝖗𝖎𝖘🦋,,"Totalmente boiolinha pelas favss
ᴅᴇᴍɪ • ᴠɪᴄᴛᴏʀɪᴀ ᴘᴇᴅʀᴇᴛᴛɪ • ʜᴜɴᴛᴇʀ sᴄʜᴀғᴇʀ",RT @lovatthw: Ladies and Gentlemen Demi Lovato https://t.co/cYJECEQG9s,no,no,no,no,no,no
playboi_castro,FreeYB !,West side,#Fuckery.,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
mersharki,mershark 🆖,https://ko-fi.com/mershark,he/him - 🇹🇷 - commissions open (dm if interested),"This one is for the boys in the Polo's
Entrepreneur nice gentlemen and the moguls
He could ball with the crew, he c… https://t.co/AMsk1gzjI3",yes,no,no,no,no,no
discomerboy,sugabader ✧,the sensual world,pisces aquarius cancer | @aphrodynasty,"ladies and gentlemen, the hottest woman on earth. https://t.co/asAGX7K8JM",no,no,no,no,no,no
FrxddieAFC,Frëddîë,,,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
JosephZa7,JosephZa,,,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
sensuacontrario,dani.,Portugal.,"mestranda em direito apaixonada por futebol e livros. orgulhosamente, benfiquista. citizen. merengue. entusiasta de fórmula 1. LH44. DR3. LN4.","RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
wi_esp82,Wilber Espinosa,,Miami Heat fan thanks to Dwade. #heatlifer #heatnation #onelastdance,DPOY ladies and Gentlemen. https://t.co/18p73rJbsZ,no,no,no,no,no,no
Saheerhashim,Saheer H,Dubai and Doha,Hallucinator... MCFC Fan Since FIFA 99,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
CrapanzanoRobin,robin crapanzano,,Volgt nieuws over Ajax,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
bb_vinceee,raki,"que será, será",tell me why’d u have to hit and run me,"RT @elh2e: Ladies and Gentlemen, Bretman Rock✨ @bretmanrock https://t.co/TgY5p2zrWr",no,no,no,no,no,no
camila_healing,𝓛𝓮𝓽 𝓱𝓮𝓻 𝓯𝓵𝔂 🕊️🔗,"Napoli, Campania","~ 𝘼 𝙨𝙢𝙤𝙤𝙩𝙝 𝙨𝙚𝙖 𝙣𝙚𝙫𝙚𝙧 𝙢𝙖𝙙𝙚 𝙖 𝙨𝙠𝙞𝙡𝙡𝙚𝙙 𝙨𝙖𝙞𝙡𝙤𝙧  ~ - fan account #lesbiansquad 🌈
- Supporter of @sscnapoli
 🌺",RT @lovatthw: Ladies and Gentlemen Demi Lovato https://t.co/cYJECEQG9s,no,no,no,no,no,no
tariknjp,Tarik,Trinidad and Tobago,,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
_uzayr_i,Chance the Haafith,,,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
Koche003,Edward D Koch,"Elyria, OH","Pro-Wrestling Fan, UFC Fanatic, Steelers Fan, Indians Fan(Cleveland Baseball), Republican, and Cavs Fan. 💕 10/14/19 @baelienbaby 💕Black Belt in Taekwondo 🥋","RT @Indians: Good game, gentlemen.

Biebs got some run support, and it looked good on him.

#OurCLE | #Windians https://t.co/k3ls6durKV",no,no,no,no,no,no
HesfordOlly,Olly Hesford,"North West, England",,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
Hammersboyjoe,Joe ⚒ #GSBOUT ♦️,Per Audacia Ad Astra 🌠,"🇬🇧🇮🇱 Joe, LDN | @DestinyTheGame since early | @Battlefield Vet/ex comp pleb | The Division | R6S | FH4 | WHUFC fan ⚒ | Peaky Blinders | F1, MV33 & LN4 fan","RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
EdwardDixon3,Edward Dixon,,"AI guy. Co-author of 'Demystifying AI for the Enterprise'. ""A desk is a dangerous place from which to view the world""- le Carre. #DigitalForensics",@Plumbobbit @kirstygogan I had the pleasure of meeting the gentlemen at an @MIT facility. Cool and courteous and ve… https://t.co/cGH5xIB4yp,no,no,no,no,no,no
RolandoFoster6,.,uptown uptown ,I start shit and ignore my mentions,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
Apollo_Creed_,RE ME DO DO SO,,"Off my politically correct meds. 

S6,E3: In the short run, justice always loses to politics. ~ Raymond Reddington  #GenX, 🖕NOBODY 🖕CARES 🖕","RT @donwinslow: Ladies and gentlemen, I present the Grand Wizard of racist assholes, @SenTomCotton ! https://t.co/wVnUbcb1Jl",no,no,no,no,no,no
MCWO2K,Stockport Iniesta,"Manchester, England",🇳🇬,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
pommie_tappet,Pommie Tappet,https://discord.gg/967Vu7G,Gnome rights advocate. Writer of #Warcraft characters. Admin of WarcraftPets Discord. Banner by @Pinup_Gnome. Avatar by @Ellise93Art.,@NamuratheLock @itsjust_ren @ItsBigBadDad @ItzMellyK1 @PrismaticMien @cyhyraeth1 @stouph87 @PaePickford @Maevra1… https://t.co/XwAVGcnxSw,no,no,no,no,no,no
Dynamo_EU,Dynamo,"England, United Kingdom",Twitch: https://t.co/wvbsUQQ8TL,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
13M0_0M,ડⅈ𝕣ⅈꪊડ,,𝙵𝙲𝙱 𝙼𝚊𝚗𝚌𝚒𝚝𝚢 𝙽𝚊𝚍𝚊𝚕,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
11PaulAllen,Paul Allen,Knutsford,local man/City fan,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
Laus1507,Laurenz Vescoli,"Innsbruck, Austria",Sometimes you've just gotta lick the stamp and send it! || YouTuber. Presenter & Host on @BluesFansTV. || Chelsea & Ferrari Fan 💙❤️,"What we thinking ladies &amp; gentlemen?

Does it sound THAT bad?
No ones intending to leave their domestic competition… https://t.co/eHzsJpNEkX",no,no,no,yes,no,no
PmorrisPeter,Peter Morris,"St. John's, Newfoundland and L",July 1 is Memorial Day AND Canada Day here in Newfoundland and Labrador...for very good reasons. Learn more. Look it up. Thanks for stopping by.,"@nspector4 That, ladies and gentlemen, is the most accurate and succinct summation of the current state of Covid pl… https://t.co/n3GyqNjbmN",no,no,no,yes,no,no
Ora_Mashigs,baby.,South Africa,💖😽😗,"RT @ZwakalaYamkela: WARNING: reflections in this mirror may be distorted by socially constructed ideas of beauty. 
Ladies &amp; gentlemen my bo…",no,no,no,no,no,no
alexalquezar19,Alex Alquezar,,"20 años. 📚Ing. Informática - UB📚         
                             📍Valls - Barcelona📍
🇧🇪🇳🇱
Celtics.","RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
_mcfcjack_,Jack,.,mcfc,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
MrWengerr,Wassim,,Co-host of @individualsFC - Tune in every Monday for a new podcast.,RT @chief_afc: European Super League Founding Member. The Arsenal are back Ladies and Gentlemen.  https://t.co/5cWLOfRPjQ,no,no,no,no,no,no
SemouNdiaye96,Jay 🖖🏾,Senegal,⚖️,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
markstewartthfc,Mark Stewart,Carrickfergus,C.O.Y.S 🇬🇧,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
cam9ii,𝘾𝙖𝙢🧃,vibing to juice wrld,fútból connoisseur. priv ~ @CxmXtra,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
cityetihads,Ethan ¿,"England, United Kingdom","manchester city, das it | you’ve probably seen me lurking around a lot |","RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,yes,no,no
EduBudaBoss,Fafarai,"Nanyuki, Kenya","An inconsequential man. 



















#GoonerThroughAndThrough",Ladies a d gentlemen the new European super league has officially been formed,no,no,no,no,no,no
YAHAYANAPEH,YAHAYA NAPEH,GHANA,"Luv or hate me i still care about u,but don't  take me 4 granted  follow and i will follow u back #CFC#","RT @siphillipssport: Fernandinho makes 2 CLEAR yellow card tackles, doesn't get booked. Reece James wins the ball, gets booked. Mike Dean l…",no,no,no,no,no,no
jovilla27,Carlos,,Photography | Barça,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
SoldierFF7VII,Wagwan,,#MCFC | 🇺🇦,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
euclid_dsouza,Euclid Dsouza,,,"Ladies and gentlemen, I present the best indictator thats better than all other technical indicators combined.

The… https://t.co/l4DQ6gdEqh",no,no,no,no,no,no
513520,Mike Brown,Stockport,Former Secretary of the Derbyshire and Cheshire Cricket League. Social cricket player for Charlesworth and Broadbottom C.C ( now retired ). DCCL League Umpire.,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
dald96,Daniel Limongi,,Venezolano. Escribí en @lamediainglesa y ahora en @informe21.,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
mcfcsam04,RIYAD MAHREZ IS SO BEAUTIFUL,,,"RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
AhmaduBaamba,Ahmadu Bamba 🇸🇳,TOUBA📍💎,"|لا تحز ن إ ن الله معنا 🙏🏿❤️|.|Cheikh Ahmadou Bamba in our heart ❤️🥰|Dundons le Mbékté |Football ,Premier League ⚽️🔥🙌🏿💙💎|","RT @City_Xtra: Ladies and gentlemen, tonight, you have just witnessed the death of football as we know it. The game that we have all come t…",no,no,no,no,no,no
